21:19:44 25/03/2022                                                          Resp.: valter
                  Período: 25/03/2018 á 25/03/2022

| CÓDIGO |         DESCRIÇÃO          |    TIPO    |   ORIGEM   |  DESTINO   |  QTD   |    DATA    |
| 151210 | PAINEL FRONTAL TRANSDUTOR  | Transferên |  Imprimir  |  Impresso  |   32   | 2020-08-18 |
| 152071 | ESCALA 72 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   16   | 2020-08-18 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   32   | 2020-08-18 |
| 167258 | PAINEL TRASEIRO B. OLHAL T |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-18 |
| 169051 |    VISOR INJETADO DG-96    |   Saída    |  Impresso  |  Externo   |   2    | 2020-08-18 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   6    | 2020-08-18 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-18 |
| 167182 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   3    | 2020-08-18 |
| 152037 |        ESCALA 96 SF        |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-18 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   14   | 2020-08-18 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  | Transferên |  Imprimir  |  Impresso  |   8    | 2020-08-19 |
| 152068 | ESCALA 72 PI EM BRANCO - F |  Entrada   |  Externo   |  Impresso  |   6    | 2020-08-19 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   19   | 2020-08-19 |
| 151084 | PAINEL FRONTAL POT. ATIVA/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-19 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   10   | 2020-08-19 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   3    | 2020-08-19 |
| 152910 | ESCALA 96 HD (BOBINA IMPOR |   Saída    |  Impresso  |  Externo   |   4    | 2020-08-19 |
| 152043 |        ESCALA 96 VD        |   Saída    |  Impresso  |  Externo   |   4    | 2020-08-19 |
| 167184 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   2    | 2020-08-19 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   13   | 2020-08-19 |
| 151168 | PAINEL TRANSD. TRIPLO CORR |   Saída    |  Impresso  |  Externo   |   2    | 2020-08-19 |
| 152072 | ESCALA 96 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   30   | 2020-08-20 |
| 152075 |        ESCALA 48 PC        |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-20 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   27   | 2020-08-20 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   14   | 2020-08-20 |
| 169051 |    VISOR INJETADO DG-96    |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-20 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   2    | 2020-08-20 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   6    | 2020-08-20 |
| 152078 |       ESCALA 144 PI        |  Entrada   |  Externo   |  Imprimir  |   2    | 2020-08-24 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  | Transferên |  Imprimir  |  Impresso  |   15   | 2020-08-24 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |  Entrada   |  Externo   |  Impresso  |   74   | 2020-08-24 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |  Entrada   |  Externo   |  Impresso  |   11   | 2020-08-24 |
| 152077 | ESCALA BRANCA HZ 96 PC INT |  Entrada   |  Externo   |  Impresso  |   2    | 2020-08-24 |
| 152072 | ESCALA 96 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   6    | 2020-08-24 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   17   | 2020-08-24 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   2    | 2020-08-24 |
| 151084 | PAINEL FRONTAL POT. ATIVA/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-24 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   14   | 2020-08-24 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   6    | 2020-08-24 |
| 167184 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   2    | 2020-08-24 |
| 167182 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-24 |
| 169051 |    VISOR INJETADO DG-96    |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-24 |
| 152071 | ESCALA 72 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   10   | 2020-08-25 |
| 152072 | ESCALA 96 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   14   | 2020-08-25 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-25 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   4    | 2020-08-25 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   7    | 2020-08-25 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   35   | 2020-08-25 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   10   | 2020-08-25 |
| 152037 |        ESCALA 96 SF        |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-25 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ | Transferên |  Imprimir  |  Impresso  |   10   | 2020-08-26 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ | Transferên |  Imprimir  |  Impresso  |   16   | 2020-08-26 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   6    | 2020-08-26 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   6    | 2020-08-26 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   2    | 2020-08-26 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   2    | 2020-08-26 |
| 151084 | PAINEL FRONTAL POT. ATIVA/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-26 |
| 152071 | ESCALA 72 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   4    | 2020-08-27 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   64   | 2020-08-27 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   6    | 2020-08-27 |
| 167247 | PAINEL TRASEIRO BORNE FENI |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-27 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   4    | 2020-08-27 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   4    | 2020-08-27 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   5    | 2020-08-27 |
| 151168 | PAINEL TRANSD. TRIPLO CORR |   Saída    |  Impresso  |  Externo   |   4    | 2020-08-27 |
| 151090 | PAINEL FRONTAL POT. ATIVA/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-27 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   11   | 2020-08-31 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   8    | 2020-08-31 |
| 167258 | PAINEL TRASEIRO B. OLHAL T |   Saída    |  Impresso  |  Externo   |   8    | 2020-08-31 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-31 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-31 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   1    | 2020-08-31 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  | Transferên |  Imprimir  |  Impresso  |   60   | 2020-09-01 |
| 151119 | PAINEL FRONTAL TRANSDUT. C | Transferên |  Imprimir  |  Impresso  |   25   | 2020-09-01 |
| 167184 | PAINEL TRASEIRO PADRÃO BOR |  Entrada   |  Externo   |  Imprimir  |   11   | 2020-09-01 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |  Entrada   |  Externo   |  Impresso  |   1    | 2020-09-01 |
| 167184 | PAINEL TRASEIRO PADRÃO BOR |  Entrada   |  Externo   |  Impresso  |   7    | 2020-09-01 |
| 167182 | PAINEL TRASEIRO PADRÃO BOR |  Entrada   |  Externo   |  Impresso  |   1    | 2020-09-01 |
| 167262 | PAINEL TRASEIRO PADRÃO BOR |  Entrada   |  Externo   |  Impresso  |   1    | 2020-09-01 |
| 167225 | PAINEL TRASEIRO B. OLHAL T |  Entrada   |  Externo   |  Impresso  |   1    | 2020-09-01 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |  Entrada   |  Externo   |  Impresso  |   4    | 2020-09-01 |
| 167204 | PAINEL TRASEIRO B. OLHAL T | Transferên |  Imprimir  |  Impresso  |   4    | 2020-09-01 |
| 151084 | PAINEL FRONTAL POT. ATIVA/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-01 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   26   | 2020-09-01 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   8    | 2020-09-01 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   14   | 2020-09-01 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   11   | 2020-09-01 |
| 167182 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-01 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |  Entrada   |  Externo   |  Impresso  |   30   | 2020-09-02 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |  Entrada   |  Externo   |  Impresso  |  110   | 2020-09-02 |
| 152077 | ESCALA BRANCA HZ 96 PC INT |  Entrada   |  Externo   |  Impresso  |   4    | 2020-09-02 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |  Entrada   |  Externo   | Retrabalho |   53   | 2020-09-02 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |  Entrada   |  Externo   | Retrabalho |  108   | 2020-09-02 |
| 152071 | ESCALA 72 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   21   | 2020-09-02 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |  Entrada   |  Externo   |  Imprimir  |  200   | 2020-09-02 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |  Entrada   |  Externo   |  Imprimir  |  200   | 2020-09-02 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   32   | 2020-09-02 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   9    | 2020-09-02 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   19   | 2020-09-02 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   2    | 2020-09-02 |
| 152071 | ESCALA 72 PC FM/BM INTERC. | Transferên |  Imprimir  | Retrabalho |   24   | 2020-09-03 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   8    | 2020-09-03 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   81   | 2020-09-03 |
| 151168 | PAINEL TRANSD. TRIPLO CORR |   Saída    |  Impresso  |  Externo   |   3    | 2020-09-03 |
| 151165 | PAINEL TRANSD. FREQUENCIA  |   Saída    |  Impresso  |  Externo   |   3    | 2020-09-03 |
| 167184 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   3    | 2020-09-03 |
| 167204 | PAINEL TRASEIRO B. OLHAL T |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-03 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-03 |
| 152071 | ESCALA 72 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   34   | 2020-09-03 |
| 151168 | PAINEL TRANSD. TRIPLO CORR | Transferên |  Imprimir  |  Impresso  |   7    | 2020-09-03 |
| 151088 | PAINEL FRONTAL POT. ATIVA/ | Transferên |  Imprimir  |  Impresso  |   7    | 2020-09-03 |
| 152071 | ESCALA 72 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   15   | 2020-09-04 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |  Entrada   |  Externo   |  Imprimir  |  200   | 2020-09-04 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |  Entrada   |  Externo   |  Imprimir  |  200   | 2020-09-04 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ | Transferên |  Imprimir  |  Impresso  |   42   | 2020-09-04 |
| 151168 | PAINEL TRANSD. TRIPLO CORR |   Saída    |  Impresso  |  Externo   |   3    | 2020-09-04 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   8    | 2020-09-04 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   9    | 2020-09-04 |
| 151088 | PAINEL FRONTAL POT. ATIVA/ |   Saída    |  Impresso  |  Externo   |   3    | 2020-09-04 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   26   | 2020-09-04 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   2    | 2020-09-04 |
| 167204 | PAINEL TRASEIRO B. OLHAL T |   Saída    |  Impresso  |  Externo   |   10   | 2020-09-08 |
| 152072 | ESCALA 96 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   22   | 2020-09-08 |
| 167182 | PAINEL TRASEIRO PADRÃO BOR | Transferên |  Imprimir  |  Impresso  |   27   | 2020-09-08 |
| 167182 | PAINEL TRASEIRO PADRÃO BOR |  Entrada   |  Externo   |  Imprimir  |   20   | 2020-09-08 |
| 167182 | PAINEL TRASEIRO PADRÃO BOR | Transferên |  Imprimir  |  Impresso  |   10   | 2020-09-08 |
| 167184 | PAINEL TRASEIRO PADRÃO BOR |  Entrada   |  Externo   |  Impresso  |   8    | 2020-09-08 |
| 167225 | PAINEL TRASEIRO B. OLHAL T |  Entrada   |  Externo   |  Impresso  |   1    | 2020-09-08 |
| 151118 | PAINEL FRONTAL TRANSD. DC/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-08 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-08 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   8    | 2020-09-08 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   22   | 2020-09-08 |
| 167182 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-08 |
| 152071 | ESCALA 72 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   3    | 2020-09-09 |
| 152072 | ESCALA 96 PC FM/BM INTERC. | Transferên |  Imprimir  | Retrabalho |   6    | 2020-09-09 |
| 152072 | ESCALA 96 PC FM/BM INTERC. | Transferên |  Imprimir  |  Impresso  |   55   | 2020-09-09 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   4    | 2020-09-09 |
| 167225 | PAINEL TRASEIRO B. OLHAL T |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-09 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   4    | 2020-09-09 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   6    | 2020-09-09 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |  Entrada   |  Externo   |  Impresso  |  110   | 2020-09-10 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |  Entrada   |  Externo   |  Impresso  |   28   | 2020-09-10 |
| 152077 | ESCALA BRANCA HZ 96 PC INT |  Entrada   |  Externo   |  Impresso  |   1    | 2020-09-10 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   2    | 2020-09-10 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   29   | 2020-09-10 |
| 167182 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   8    | 2020-09-10 |
| 151119 | PAINEL FRONTAL TRANSDUT. C |   Saída    |  Impresso  |  Externo   |   2    | 2020-09-10 |
| 151084 | PAINEL FRONTAL POT. ATIVA/ |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-10 |
| 152072 | ESCALA 96 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   37   | 2020-09-11 |
| 152071 | ESCALA 72 PC FM/BM INTERC. |   Saída    |  Impresso  |  Externo   |   6    | 2020-09-11 |
| 167184 | PAINEL TRASEIRO PADRÃO BOR |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-11 |
| 152076 | ESCALA BRANCA HZ 72 PC INT |   Saída    |  Impresso  |  Externo   |   1    | 2020-09-11 |
| 151210 | PAINEL FRONTAL TRANSDUTOR  |   Saída    |  Impresso  |  Externo   |   15   | 2020-09-14 |
